title,description,author,date
Imran Khan criticised for rape 'victim blaming',"Pakistan's prime minister said women should cover up to avoid ""temptation"".",,4/7/2021 19:28
Hunting rare birds to feed the sex drive of princes,"A glimpse into the closed world of hunts for houbara bustards, thought by some to be an aphrodisiac.",By Saher Baloch,3/28/2021 5:22
'I'm going to follow in my sister's footsteps',,,3/23/2021 19:37
Dying nurse told sister 'follow in my footsteps',Areema Nasreen was one of the youngest NHS workers to die of Covid-19 at the start of the pandemic.,By Rebecca Woods,3/21/2021 12:31
Death sentence for Pakistan motorway rape pair,Abid Mehli and Shafqat Ali raped a woman stranded on a motorway in front of her children last year.,,3/21/2021 4:10
Pakistan's PM Imran Khan tests positive for Covid,The 68-year-old was vaccinated two days ago and is said to be isolating at home.,,3/20/2021 16:02
Row over 'spy cameras' in Pakistan polling booth,An election in Pakistan's Senate is disrupted as opposition politicians say they found spy cameras.,,3/12/2021 23:15
"Abducted, shackled and forced to marry at 12","Up to 1,000 Christian, Hindu and Sikh girls are abducted in Pakistan every year, then forced to convert to Islam, and to marry.",By Mike Thomson,3/10/2021 5:44
Bangladesh's first transgender news reader debuts,Tashnuva Anan Shishir told the BBC she faced bullying and harassment but was determined to succeed.,,3/9/2021 17:45
Mourning the sisters killed as they taught handicrafts,Ayesha and Irshad were breadwinners in a former Pakistani tribal area where militancy is rising again.,By Azizullah Khan,2/27/2021 5:57
Student wants top award to 'inspire other girls',"Esha Mumtaz, who ""started from square one"" after moving to the UK, becomes Young Student of the Year.",,2/25/2021 22:55
Councillor suspended over 'Covid-breach wedding',Manchester Labour councillor Aftab Razaq allegedly flew to Pakistan and attended the celebration.,By Rahila Bano,2/19/2021 23:02
A guide to the Pakistan Super League,The PSL begins on Saturday when defending champions Karachi Kings face Quetta Gladiators.,,2/19/2021 14:46
A 5-second video brings India and Pakistan together,"Pakistan's Dananeer Mobin, 19, has got two countries that usually see tense relations, ready to ""pawri"" (party).",,2/19/2021 10:15
The hero mountaineer who never came back from K2,Mohammad Ali Sadpara will be remembered as a versatile climber who was revered in his native Pakistan.,By M Ilyas Khan,2/19/2021 7:52
"Malala Yousafzai, activist",,,2/17/2021 22:58
British activist held in Pakistan over UK speech,"Yousaf Ali Khan faces trial on charges of sedition over remarks made in London alleged to be ""anti-state"".",,2/17/2021 17:09
NI climber abandons deadly K2 summit attempt,Noel Hanna was hoping to become the first person from the island of Ireland to climb the peak in winter.,,2/8/2021 16:51
Pakistan beat South Africa to seal series,Pakistan complete a 2-0 series clean sweep over South Africa with a 95-run win in the second Test in Rawalpindi.,,2/8/2021 15:19
South Africa in Pakistan 2021,"Fixtures, results and scorecards from South Africa's first tour of Pakistan for 13 years, featuring two Tests and three Twenty20 internationals.",,2/8/2021 15:02
SA fight back after Rizwan century,Mohammad Rizwan scores his maiden Test century but South Africa fight back against Pakistan to leave the second Test intriguingly poised.,,2/7/2021 18:27
Could a banned film make the Oscars shortlist?,,,2/5/2021 19:21
Will Pakistan get Covid vaccines from India?,"India has begun supplying vaccines to many countries, but next-door rival Pakistan is not among them.",By Soutik Biswas,1/29/2021 5:05
US 'outraged' over acquittals in Daniel Pearl case,The American journalist was abducted and beheaded while working on a story in Pakistan in 2002.,,1/29/2021 4:57
